,id,full_text,created_at,favorite_count,retweet_count
94,1437153113035747338,"Vaccines are free, safe, and convenient. https://t.co/mJS9AteS8o",Sun Sep 12 20:36:17 +0000 2021,36524,5318
95,1437121485366308864,"RT @POTUS: We honor all those lost on that dark day, 20 years ago. And we honor those who risked and gave their lives in the minutes, hours…",Sun Sep 12 18:30:37 +0000 2021,0,3096
96,1436773965041750019,"RT @POTUS: We honor those lives lost on Flight 93 on that dark day in history 20 years ago. No matter how much time has passed, these comme…",Sat Sep 11 19:29:41 +0000 2021,0,4687
97,1436729790225162250,"RT @POTUS: We never forget.

We never forget the children who have grown up without parents. Parents who have suffered without children. Hu…",Sat Sep 11 16:34:09 +0000 2021,0,13680
98,1436676656169635847,"Twenty years ago, nearly 3,000 lives were cut short by an unspeakable act of cowardice and hatred on 9/11. As a nation, we must never forget those we lost during one of the darkest moments in our history and the enduring pain of their families and loved ones.",Sat Sep 11 13:03:01 +0000 2021,100572,11499
99,1436490934770929706,"Our new COVID-19 plan will reduce the number of unvaccinated Americans, decrease hospitalizations and deaths, allow our children to go to schools safely, and keep our economy strong by keeping businesses open. 

We will spare no effort in saving lives and beating this virus.",Sat Sep 11 00:45:02 +0000 2021,39566,4826
100,1436367668911788060,"Our plan takes on the elected officials in states that are undermining the life-saving actions we need to take to defeat COVID-19. 

If these governors won’t help us beat the pandemic, we will get them out of the way. https://t.co/8XcibeNeV4",Fri Sep 10 16:35:13 +0000 2021,16344,2643
101,1436341714264985601,"My first responsibility is to protect the American people and make sure we have vaccines for every American, including enough boosters. As soon as they're authorized, those eligible will be able to get a free booster right away in tens of thousands of sites across the country.",Fri Sep 10 14:52:05 +0000 2021,50384,5514
102,1436155670978568196,The Department of Labor is developing an emergency rule to require that all employers with 100 or more employees ensure their workforces are fully vaccinated or show a negative test at least once a week. https://t.co/Yn2kDf63FU,Fri Sep 10 02:32:49 +0000 2021,26835,3050
103,1436093465499144193,"RT @POTUS: Right now, local school officials are trying to keep children safe in a pandemic while their governor picks a fight with them an…",Thu Sep 09 22:25:38 +0000 2021,0,8012
104,1435999951230840842,"The Bipartisan Infrastructure Deal and the Build Back Better Agenda will:
✅Create millions of good-paying jobs rebuilding roads and bridges
✅Lower taxes for working families
✅Lower costs for working families, including child care, elder care, community college, pre-K, and more",Thu Sep 09 16:14:02 +0000 2021,10738,1794
105,1435739980706500609,"The pandemic of the unvaccinated is a tragedy that is preventable. People are dying and will die from COVID-19 who don't have to. 

If you haven't gotten vaccinated, do it now. It could save your life and the lives of those you love.",Wed Sep 08 23:01:00 +0000 2021,53146,7335
106,1435605847225339911,"Folks, the evidence is clear, climate change poses an existential threat to our lives and our economy. But we can stop it from getting worse. 

Our Build Back Better plan will make investments to fight the climate crisis, cut emissions, and make our infrastructure more resilient.",Wed Sep 08 14:08:00 +0000 2021,31040,3822
107,1435600403488518150,"RT @POTUS: Yesterday, I toured communities impacted by Ida in New Jersey and New York. As I told folks on the ground, we’re committed to su…",Wed Sep 08 13:46:23 +0000 2021,0,1886
108,1434894331845005318,"The middle class built America, and unions built the middle class.  

This Labor Day, we honor all the workers, and their enduring movement, that keep our economy moving and are the heart, soul, and spine of this nation. https://t.co/mzLEKfW7j8",Mon Sep 06 15:00:42 +0000 2021,14198,2134
109,1434188759747211267,"RT @POTUS: I know some folks are hesitant to get vaccinated, but the vaccine is safe, effective, and the best way to protect yourself and t…",Sat Sep 04 16:17:00 +0000 2021,0,3341
110,1433891056953790482,We are now the only developed country in the world whose economy is bigger than it was before the pandemic. Our economic plan is working. https://t.co/Xj715N5rx7,Fri Sep 03 20:34:03 +0000 2021,24484,3238
111,1433562887298199555,"The Supreme Court's overnight ruling is an unprecedented assault on constitutional rights and requires an immediate response.

We will launch a whole-of-government effort to respond, looking at what steps we can take to ensure that Texans have access to safe and legal abortions.",Thu Sep 02 22:50:01 +0000 2021,79368,9841
112,1433546883205578756,"To everyone who is still in harm's way and for all those struggling to deal with the aftermath of the storms and fires, keep the faith. We’re going to stand with you for as long as it takes to recover and rebuild.",Thu Sep 02 21:46:25 +0000 2021,21815,2331
113,1433515992492253187,RT @POTUS: I want to express my heartfelt thanks to all the first responders and everyone working through the night to save lives and get t…,Thu Sep 02 19:43:40 +0000 2021,0,2317
114,1433183957424689157,"Texas law SB8 will significantly impair people’s access to the health care they need—particularly for communities of color and individuals with low incomes.

We are deeply committed to the constitutional right established in Roe v. Wade and will protect and defend that right.",Wed Sep 01 21:44:17 +0000 2021,45804,6526
115,1433063313362104325,I was not going to extend this forever war. https://t.co/QoDLRA4Hqr,Wed Sep 01 13:44:53 +0000 2021,22384,2216
116,1432884413235347462,This decision about Afghanistan is not just about Afghanistan. It's about ending an era of major military operations to remake other countries.,Wed Sep 01 01:54:00 +0000 2021,110777,10676
117,1432876149437255683,"There is nothing low-grade, low-risk, or low-cost about any war. It was time to end the war in Afghanistan. https://t.co/jAGbWnBzol",Wed Sep 01 01:21:10 +0000 2021,23448,2730
118,1432529067153186816,"RT @POTUS: The past 17 days have seen our troops execute the largest airlift in US history. They have done it with unmatched courage, profe…",Tue Aug 31 02:21:59 +0000 2021,0,8654
119,1432122004543508480,RT @POTUS: The 13 service members that we lost were heroes who made the ultimate sacrifice in service of our highest American ideals and wh…,Sun Aug 29 23:24:28 +0000 2021,0,12153
120,1431694025136955394,"RT @POTUS: I said we would go after the group responsible for the attack on our troops and innocent civilians in Kabul, and we have. My ful…",Sat Aug 28 19:03:49 +0000 2021,0,5585
121,1431250830980788224,"RT @POTUS: The American service members who gave their lives were heroes. Heroes who have been engaged in a dangerous, selfless mission to…",Fri Aug 27 13:42:44 +0000 2021,0,12273
122,1430628555742920704,"We're going to do everything that we can to provide safe evacuation for Americans, our Afghan allies, partners, and Afghans who might be targeted because of their association with the United States.",Wed Aug 25 20:30:02 +0000 2021,41569,4265
123,1430520767385677829,"Thank you to @SpeakerPelosi and every Democrat who came together to advance our Build Back Better Agenda in the House. The House’s historic vote is a huge step forward in our work to restore America’s economy, rebuild our infrastructure, and invest in our shared future.",Wed Aug 25 13:21:43 +0000 2021,38433,4693
124,1430272177744629762,To the millions of Americans who have been waiting for full FDA approval—go get your COVID-19 shot now. https://t.co/393WzbJ6om,Tue Aug 24 20:53:55 +0000 2021,15723,2197
125,1430162366939942924,"The United States stands by the commitment we’ve made to evacuate people—and this includes vulnerable Afghans, such as women leaders and journalists. https://t.co/kfjfyKmBcM",Tue Aug 24 13:37:34 +0000 2021,13596,1798
126,1429845800612413441,"Once screened and cleared, we will welcome Afghans who helped us in the war effort to their new home in the United States of America. 

Because that's who we are. That's what America is.",Mon Aug 23 16:39:38 +0000 2021,93771,8697
127,1429611346346250242,"To those in Henri’s path: Don't forget that you may need to seek shelter while we’re still battling COVID-19 and the Delta variant. So wear a mask and try to observe social distancing.

And to everyone across the country, don't get caught by the next storm. Get vaccinated now.",Mon Aug 23 01:08:00 +0000 2021,38278,4200
128,1429504471395078144,"RT @POTUS: Today at 4 PM ET I will address the nation on my Administration’s response to Tropical Storm Henri, and give an update on the ev…",Sun Aug 22 18:03:19 +0000 2021,0,4442
